id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,53,13,36,53,134,watch,baseline,monotonic-signal
g002,lineage depth,48,15,44,45,73,hold,edge,drag-penalty
g003,partition skew,93,19,28,45,276,ship,recovery,confidence-floor
g004,quality gap,31,58,22,50,163,watch,negative,lane-boundary
g005,schema drift,92,45,20,57,355,ship,baseline,monotonic-signal
g006,lineage depth,38,41,21,65,201,ship,edge,drag-penalty
g007,partition skew,102,42,23,74,404,ship,recovery,confidence-floor
g008,quality gap,94,10,25,40,272,ship,negative,lane-boundary
g009,schema drift,49,66,7,70,325,ship,baseline,monotonic-signal
g010,lineage depth,30,62,41,90,168,ship,edge,drag-penalty
g011,partition skew,112,62,39,61,364,ship,recovery,confidence-floor
g012,quality gap,69,65,39,94,304,ship,negative,lane-boundary
g013,schema drift,95,69,25,72,398,ship,baseline,monotonic-signal
g014,lineage depth,67,73,14,23,264,ship,edge,drag-penalty
g015,partition skew,57,43,31,89,268,ship,recovery,confidence-floor
g016,quality gap,99,65,41,83,364,ship,negative,lane-boundary
g017,schema drift,80,9,6,85,395,ship,baseline,monotonic-signal
g018,lineage depth,74,53,32,47,241,ship,edge,drag-penalty
g019,partition skew,30,8,4,76,234,ship,recovery,confidence-floor
g020,quality gap,56,23,34,52,159,watch,negative,lane-boundary
g021,schema drift,116,33,29,44,353,ship,baseline,monotonic-signal
g022,lineage depth,106,40,28,44,334,ship,edge,drag-penalty
g023,partition skew,104,46,8,49,424,ship,recovery,confidence-floor
g024,quality gap,107,17,21,56,366,ship,negative,lane-boundary
g025,schema drift,68,15,29,64,231,ship,baseline,monotonic-signal
g026,lineage depth,96,76,13,73,458,ship,edge,drag-penalty
g027,partition skew,69,39,7,39,296,ship,recovery,confidence-floor
g028,quality gap,59,23,5,69,318,ship,negative,lane-boundary
g029,schema drift,102,18,6,89,478,ship,baseline,monotonic-signal
g030,lineage depth,83,18,8,60,355,ship,edge,drag-penalty
g031,partition skew,33,20,10,93,265,ship,recovery,confidence-floor
g032,quality gap,94,24,34,71,312,ship,negative,lane-boundary
g033,schema drift,89,63,26,22,270,ship,baseline,monotonic-signal
g034,lineage depth,46,50,24,88,268,ship,edge,drag-penalty
g035,partition skew,72,46,24,82,330,ship,recovery,confidence-floor
g036,quality gap,45,47,10,84,310,ship,negative,lane-boundary
g037,schema drift,79,15,41,46,180,ship,baseline,monotonic-signal
g038,lineage depth,55,71,16,75,322,ship,edge,drag-penalty
g039,partition skew,47,67,26,51,206,ship,recovery,confidence-floor
g040,quality gap,90,67,33,43,291,ship,negative,lane-boundary
g041,schema drift,71,70,17,43,301,ship,baseline,monotonic-signal
g042,lineage depth,65,74,31,48,241,ship,edge,drag-penalty
g043,partition skew,110,8,19,55,372,ship,recovery,confidence-floor
g044,quality gap,48,48,14,63,262,ship,negative,lane-boundary
g045,schema drift,108,70,13,72,486,ship,baseline,monotonic-signal
g046,lineage depth,98,14,35,38,244,ship,edge,drag-penalty
g047,partition skew,52,58,6,68,326,ship,recovery,confidence-floor
g048,quality gap,33,13,14,88,232,ship,negative,lane-boundary
g049,schema drift,115,28,40,59,331,ship,baseline,monotonic-signal
g050,lineage depth,71,38,34,92,299,ship,edge,drag-penalty
g051,partition skew,97,45,32,70,348,ship,recovery,confidence-floor
g052,quality gap,69,51,33,21,168,ship,negative,lane-boundary
g053,schema drift,59,22,35,87,233,ship,baseline,monotonic-signal
g054,lineage depth,57,20,37,81,205,ship,edge,drag-penalty
g055,partition skew,60,11,19,83,281,ship,recovery,confidence-floor
g056,quality gap,109,44,11,45,417,ship,negative,lane-boundary
g057,schema drift,49,28,9,74,287,ship,baseline,monotonic-signal
g058,lineage depth,110,23,9,50,417,ship,edge,drag-penalty
g059,partition skew,100,23,37,42,259,ship,recovery,confidence-floor
g060,quality gap,55,25,26,42,170,ship,negative,lane-boundary
g061,schema drift,36,29,43,47,59,hold,baseline,monotonic-signal
g062,lineage depth,74,68,11,54,354,ship,edge,drag-penalty
g063,partition skew,47,55,18,62,248,ship,recovery,confidence-floor
g064,quality gap,42,51,44,71,143,watch,negative,lane-boundary
g065,schema drift,87,52,16,37,323,ship,baseline,monotonic-signal
g066,lineage depth,113,20,4,67,477,ship,edge,drag-penalty
g067,partition skew,86,76,41,87,344,ship,recovery,confidence-floor
g068,quality gap,32,72,40,58,124,watch,negative,lane-boundary
g069,schema drift,96,72,20,91,462,ship,baseline,monotonic-signal
g070,lineage depth,88,75,33,69,345,ship,edge,drag-penalty
g071,partition skew,43,9,41,20,14,hold,recovery,confidence-floor
g072,quality gap,112,13,25,86,421,ship,negative,lane-boundary
g073,schema drift,106,53,19,80,455,ship,baseline,monotonic-signal
g074,lineage depth,63,75,17,82,360,ship,edge,drag-penalty
g075,partition skew,89,19,18,44,302,ship,recovery,confidence-floor
g076,quality gap,61,63,20,73,312,ship,negative,lane-boundary
g077,schema drift,51,18,22,49,181,ship,baseline,monotonic-signal
g078,lineage depth,93,33,4,41,378,ship,edge,drag-penalty
g079,partition skew,74,43,38,41,195,ship,recovery,confidence-floor
g080,quality gap,68,50,36,46,202,ship,negative,lane-boundary
g081,schema drift,112,56,36,53,354,ship,baseline,monotonic-signal
g082,lineage depth,50,27,22,61,211,ship,edge,drag-penalty
g083,partition skew,110,25,11,70,451,ship,recovery,confidence-floor
g084,quality gap,100,16,28,36,276,ship,negative,lane-boundary
g085,schema drift,98,49,38,66,323,ship,baseline,monotonic-signal
g086,lineage depth,101,33,45,86,328,ship,edge,drag-penalty
g087,partition skew,62,28,29,57,212,ship,recovery,confidence-floor
g088,quality gap,90,28,43,90,306,ship,negative,lane-boundary
g089,schema drift,63,30,31,68,231,ship,baseline,monotonic-signal
g090,lineage depth,53,34,26,105,299,ship,edge,drag-penalty
g091,partition skew,96,73,25,85,431,ship,recovery,confidence-floor
g092,quality gap,77,60,5,79,429,ship,negative,lane-boundary
g093,schema drift,115,56,18,81,491,ship,baseline,monotonic-signal
g094,lineage depth,88,57,26,43,303,ship,edge,drag-penalty
g095,partition skew,83,25,10,72,378,ship,recovery,confidence-floor
g096,quality gap,40,11,4,48,211,ship,negative,lane-boundary
